,tweet,mention
0,#NoWaterInMalad: It's been 24 hours with no water supply in Malad West! @mybmc This is unacceptable! Need tankers ASAP! #MumbaiWaterCrisis (5:30 AM),WaterProblem
1,"Another day, another water cut in Bandra! @AdaniWater Is this what we're paying for? #WaterCut #MumbaiProblems (8:15 AM)",WaterProblem
2,Worried about the murky water coming out of our taps in Goregaon. @mybmc Please send someone to check the water quality! #ImpureWater #HealthHazard (9:45 AM),WaterProblem
3,Can't believe the water pressure in Kandivali! It takes forever to even fill a bucket! @mybmc Fix the pipelines already! #LowWaterPressure #Frustrated (11:00 AM),WaterProblem
4,Day 3 of water cuts in Borivali @AdaniWater We're running out of stored water! Please prioritize restoration! #WaterScarcity #MumbaiNeedsWater (12:15 PM),WaterProblem
5,Anyone else in Dharavi facing water shortage? #WaterTankerNeeded @mybmc Please send a tanker before the afternoon heat kicks in! (1:30 PM),WaterProblem
6,Leaking water pipes wasting precious water on Hill Road! @mybmc Fix this before it creates a bigger problem! #WaterWastage #MumbaiNeedsConservation (3:00 PM),WaterProblem
7,"Seriously, @AdaniWater? Another burst water line in Andheri? This is getting ridiculous! #FixTheLeaks #MumbaiInfrastructure (4:15 PM)",WaterProblem
8,Had to cancel my evening shower thanks to the water cut in Chembur. @mybmc When can we expect normal water supply to resume? (5:45 PM),WaterProblem
9,"Mumbai rains are a blessing, but what about the rest of the year? @mybmc We need a long-term solution to water scarcity! #WaterManagement #PlanForTheFuture (7:00 PM)",WaterProblem
10,#WaterCrisis in Wadala! @AdaniWater We haven't had a proper water flow for days! Fix it now! (8:15 PM),WaterProblem
11,Can't sleep with the constant sound of dripping water from a broken pipe outside my window in Santacruz. @mybmc Please send someone to repair it tonight! #DisturbedSleep #WaterWaste (10:45 PM),WaterProblem
12,Thinking of investing in a rainwater harvesting system. @mybmc Maybe then we wouldn't have to rely on this unreliable water supply! #WaterIndependence #MumbaikarsTakeAction (12:00 AM),WaterProblem
13,Woke up to find the water tank empty again in Vikhroli. @AdaniWater Is there a schedule for water cuts you're not telling us about? #UninformedCitizens #MumbaiWaterBlues (6:00 AM),WaterProblem
14,#WaterTankerMafia is real! Exorbitant prices for basic necessity! @mybmc Crack down on these water suppliers! #RightToWater #MumbaiNeedsRegulation (7:15 AM),WaterProblem
15,Organizing a protest against water shortage in Dahisar this afternoon. Join us if you're fed up! #EnoughIsEnough #MumbaiWaterRights (8:30 AM),WaterProblem
16,Water pressure is back in Bhandup! Thank goodness for small mercies. @AdaniWater Please ensure this isn't a temporary fix. (1:30 PM),WaterProblem
17,Disappointed to see overflowing water tanks in Khar. Fix the leaks before precious water goes to waste! @mybmc #WaterConservationMatters #MumbaiNeedsEfficiency (3:00 PM),WaterProblem
18,"Mumbai monsoon is here, but will it be enough to solve our water woes for the entire year? @mybmc We need better water management plans! #LongTermSolutions #MumbaisWaterFuture (4:15 PM)",WaterProblem
19,"Glad to see the water quality has improved in Mulund. Thank you, @mybmc , for addressing our concerns! #SafeDrinkingWater #MumbaiHealth (5:45 PM)",WaterProblem
20,Feeling frustrated about the constant water cuts in Nariman Point. @AdaniWater Is there an update on restoration timelines? #RightToInformation #MumbaiWaterTransparency (9:30 PM),WaterProblem
21,Investigative report exposes water pilferage in Goregaon! @mybmc Take strict action against those stealing water! #WaterTheft #MumbaiWaterJustice (7:15 AM),WaterProblem
22,"Water cuts announced again in Dadar! This is getting out of hand! @AdaniWater We need permanent solutions, not temporary fixes! #EndWaterCuts #MumbaiWaterCrisisContinues (8:30 AM)",WaterProblem
23,Started a petition demanding better water infrastructure in Mahim. Sign it and share it! https://www.change.org/ #RightToWater #MumbaiWaterPetition (9:45 AM),WaterProblem
